andorra	catalán
argentina	español
australia	inglés
austria	alemán
bahamas	inglés
bangladés	bengalí
barbados	inglés
belice	inglés
bolivia	español
brasil	portugués
camboya	camboyano/jemer
canadá	inglés/francés
chile	español
colombia	español
cuba	español
chipre	griego/turco
dinamarca	danés/feroés/groenlandés/alemán
ecuador	español
egipto	árabe
etiopía	amhárico
fiyi	inglés/fiyiano
guadalupe	francés
guam	inglés/chamorro
guatemala	español
guyana	inglés
haití	creole/francés
irán	persa
irak	árabe/kurdo
irlanda	inglés/irlandés
israel	hebreo/árabe
jamaica	inglés/patois/patua/patwa
jordania	árabe
kazajistán	kazajo/ruso
kosovo	albanés/serbio
kuwait	árabe
méxico	español
moldavia	rumano
marruecos	árabe
mozambique	portugués
holanda/netherlands/nederland	holandés/neerlandés
nicaragua	español
noruega	noruego/lapón
palestina	árabe
perú	español
filipinas	tagalog/filipino/inglés
suiza	alemán/francés/italiano
siria	árabe
taiwan	chino
usa/eeuu	inglés
venezuela	español
