andersen	escritor/poeta/autor
aristóteles	filósofo
balzac	novelista/escritor
beethoven	compositor
cesar	emperado/comandante/líder
colón/colombo/culumbus	explorador
confucio	filósofo
dante	poeta
darwin	naturalista/biólogo/geólogo
depp	actor/productor/musico
descartes	matemático/filósofo
dickens	novelista/escritor/crítico/autor
edison	inventor/empresario
einstein	físico/científico
euler	matemático/físico/astrónomo/ingeniero
goethe	poeta/dramaturgo/novelista/escritor/autor
hawking	físico/científico
haydn	compositor
hagel	filósofo
hitler	dictador/político/nazi
hume	filósofo/político
jolie	actriz/directora/activista/cineasta/
kant	filósofo
kepler	matemático/físico/astrónomo/astrólogo
lincoln	presidente/político
locke	filósofo
marx	filósofo/comunista
maxwell	físico/científico
mencius	filósofo
neruda	poeta/político/comunista
moisés	profeta/líder
mozart	compositor
napoleón	emperador/líder/político/comandante
newton	científico/matemático/físico/filósofo
pacino	actor/director/cineasta
pascal	matemático/filósofo
picasso	pintor/artista/escultor/diseñador
platon	filósofo
raphael	cantante/actor
rembrandt	pintor/artista/
rousseau	escritor/autor/filósofo
schwarzenegger	actor/político/gobernador
shakespeare	dramaturgo/poeta
spinoza	filósofo
stalin	dictador/político/líder/comunista
strauss	compositor
tolstoi	novelista/escritor/filósofo
truman	presidente/político
wagner	compositor
wittgenstein	filósofo
