abastecer	desabastecer
acatar	desacatar
aconsejar	desaconsejar
acoplamiento	desacoplamiento
acoplar	desacoplar
acuerdo	desacuerdo
afección	desafección
afecto	desafecto
afina	desafinar
afortunado	desafortunado
agota	desagotar
agradar	desagradar
agrega	desagregar
aguar	desaguar
ahogar	desahogar
alentar	desalentar
alojar	desalojar
andar	desandar
animar	desanimar
anudar	desanudar
apacible	desapacible
aparecer	desaparecer
aprender	desaprender
arbolar	desarbolar
armar	desarmar
arraigar	desarraigar
arrollar	desarrollar
articular	desarticular
aseado	desaseado
atar	desatar
ayunar	desayunar
cansar	descansar
centrar	descentrar
componer	descomponer
confiar	desconfiar
congelar	descongelar
congestionar	descongestionar
congestivo	descongestivo
congestión	descongestión
conocer	desconocer
coordinación	descoordinación
correr	descorrer
cortesía	descortesía
cortés	descortés
creer	descreer
cuidar	descuidar
dicha	desdicha
doblar	desdoblar
embarcadero	desembarcadero
empeñar	desempeñar
encadenar	desencadenar
encajar	desencajar
encantar	desencantar
encanto	desencanto
enfundar	desenfundar
engañar	desengañar
enrolla	desenrollar
entender	desentenderse
enterra	desenterrar
esperar	desesperar
estima	desestimar
fallece	desfallecer
favorable	desfavorable
favorecer	desfavorecer
fuero	desafuero
gracia	desgracia
guarnecer	desguarnecer
habita	deshabitar
hace	deshacer
heredar	desheredar
hoja	deshojar
honest	deshonesto
honor	deshonor
ilusión	desilusión
información	desinformación
leal	desleal
magnetización	desmagnetización
marcar	desmarcar
menti	desmentir
merecer	desmerecer
mitifica	desmitificar
mont	desmontar
monta	desmontar
moralizar	desmoralizar
obedecer	desobedecer
obediente	desobediente
ordenar	desordenar
organizar	desorganizar
oír	desoír
parecer	desparecer
pecho	despecho
pegar	despegar
perfecto	desperfecto
potro	despotricar
prender	desprender
preocuparse	despreocuparse
presuriza	despresurizar
propósito	despropósito
tajar	destajo
tensar	destensar
unir	desunir
