abundante	abundantísimo
ajustado	ajustadísimo
alto	altísimo
amado	amadísimo
amante	amantísimo
amplio	amplísimo
bajo	bajísimo
bravo	bravísimo
breve	brevísimo
bueno	buenísimo
caro	carísimo
claro	clarísimo
contento	contentísimo
correcto	correctísimo
corto	cortísimo
culto	cultísimo
delgado	delgadísimo
difícil	dificilísimo
digno	dignísimo
docto	doctísimo
dulce	dulcísimo
duro	durísimo
elegante	elegantísimo
escaso	escasísimo
estrecho	estrechísimo
extraño	extrañísimo
famoso	famosísimo
feliz	felicísimo
feo	feísimo
fino	finísimo
frecuente	frecuentísimo
fuerte	fuertísimo
fácil	facilísimo
fértil	fertilísimo
general	generalísimo
grande	grandísimo
grato	gratísimo
grave	gravísimo
intenso	intensísimo
largo	larguísimo
lejano	lejanísimo
lejos	lejísimos
lento	lentísimo
ligero	ligerísimo
limitado	limitadísimo
malo	malísimo
mexicano	mexicanísimo
mucho	muchísimo
peligroso	peligrosísimo
pequeño	pequeñísimo
pobre	pobrísimo
popular	popularísimo
precioso	preciosísimo
profundo	profundísimo
puro	purísimo
raro	rarísimo
remoto	remotísimo
rico	riquísimo
rápido	rapidísimo
sano	sanísimo
santo	santísimo
secreto	secretísimo
seguro	segurísimo
sereno	serenísimo
severo	severísimo
suave	suavísimo
sutil	sutilísimo
triste	tristísimo
valeroso	valerosísimo
valioso	valiosísimo
viejo	viejísimo
vivo	vivísimo
útil	utilísimo
