ababa	ababita
abeja	abejita
abuela	abuelita
aceituna	aceitunita
acera	acerita
agachada	agachadita
agua	agüita
ajustada	ajustadita
almeja	almejita
almendra	almendrita
amiga	amiguita
ampolla	ampollita
anfíbol	anfibolita
aplicación	aplicacioncita
araña	arañita
arca	arquita
aula	aulita
ave	avecita
axila	axilita
ayuda	ayudita
azúcar	azuquita
azur	azurita
azur	azurita
azur	azurita
balsamera	balsamerita
bandera	banderita
bocina	bocinita
bolsa	bolsita
bombacha	bombachita
bombilla	bombillita
botella	botellita
calesa	calesita
camioneta	camionetita
cama	camita
campana	campanita
campera	camperita
canción	cancioncita
caca	caquita
cara	carita
cartera	carterita
carta	cartita
casada	casadita
casa	casita
cera	cerita
chilena	chilenita
chispa	chispita
clave	clavecita
cola	colita
columna	columnita
coma	comita
copa	copita
corrida	corridita
cortina	cortinita
costilla	costillita
criatura	criaturita
cucha	cuchita
cuerda	cuerdita
escoba	escobita
escuela	escuelita
esfera	esferita
estatua	estatuita
estrella	estrellita
falopa	falopita
figura	figurita
flaca	flaquita
flecha	flechita
flor	florcita
gato	gatita
gorra	gorrita
gota	gotita
granja	granjita
guitarra	guitarrita
hallaca	hallaquita
hoja	hojita
ahora	horita
imagen	imagencita
leche	lechita
letra	letrita
lista	listita
loca	loquita
luz	lucecita
maceta	macetita
mamá	mamaíta
mamada	mamaíta
mamá	mamita
marca	marquita
masa	masita
mentira	mentirita
mochila	mochilita
moderna	modernita
moneda	monedita
muñeca	muñequita
música	musiquita
palabra	palabrita
paloma	palomita
panza	pancita
papaya	papayita
papa	papita
parrilla	parrillita
pastilla	pastillita
pata	patita
pava	pavita
pelota	pelotita
perdiz	perdicita
persona	personita
piedra	piedrita
pintura	pinturita
piña	piñita
plaza	placita
plata	platita
problema	problemita
programa	programita
puerta	puertita
queja	quejita
ratona	ratoncita
ropa	ropita
rosa	rosita
rueda	ruedita
silla	sillita
sopa	sopita
taza	tacita
tanga	tanguita
televisión	televisioncita
tierra	tierrita
tía	tiíta
trampa	trampita
uva	uvita
uña	uñita
virgen	virgencita
vuelta	vueltita
zopas	zopitas
