abaratar	abaratamiento
abastecer	abastecimiento
abatir	abatimiento
ablandar	ablandamiento
aborrecer	aborrecimiento
abultar	abultamiento
abundancia	abundamiento
acaecer	acaecimiento
acaparar	acaparamiento
acatar	acatamiento
accionar	accionamiento
acelerar	aceleramiento
acercar	acercamiento
acicalar	acicalamiento
acoger	acogimiento
acometer	acometimiento
acomodar	acomodamiento
acompañar	acompañamiento
acondicionar	acondicionamiento
acoplar	acoplamiento
acortar	acortamiento
acostar	acostamiento
acotar	acotamiento
acumular	acumulamiento
adelantar	adelantamiento
adelgazar	adelgazamiento
adiestrar	adiestramiento
adoctrinar	adoctrinamiento
adormecer	adormecimiento
afear	afeamiento
aferrar	aferramiento
afianzar	afianzamiento
afinar	afinamiento
afincar	afincamiento
afrancesar	afrancesamiento
agostar	angostamiento
agradecer	agradecimiento
agrandar	agrandamiento
agrupar	agrupamiento
aislar	aislamiento
ajardinar	ajardinamiento
ajustar	ajustamiento
ajusticiar	ajusticiamiento
aleccionar	aleccionamiento
alejar	alejamiento
aligerar	aligeramiento
alistar	alistamiento
allanar	allanamiento
almacenar	almacenamiento
amamantar	amamantamiento
amasar	amasamiento
amedrentar	amedrentamiento
ametrallar	ametrallamiento
amojonar	amojonamiento
amontonar	amontonamiento
anegar	anegamiento
aniquilar	aniquilamiento
apalear	apaleamiento
aparear	apareamiento
aparecer	aparecimiento
aparejar	aparejamiento
apasionar	apasionamiento
apedrear	apedreamiento
aplacar	aplacamiento
aplanar	aplanamiento
apoderar	apoderamiento
apresar	apresamiento
arraigar	arraigamiento
arrasar	arrasamiento
asentar	asentamiento
asentir	asentimiento
asesorar	asesoramiento
asolar	asolamiento
atrever	atrevimiento
avivar	avivamiento
añejar	añejamiento
balizar	balizamiento
calentar	calentamiento
comportar	comportamiento
condicionar	condicionamiento
confrontar	confrontamiento
congelar	congelamiento
conocer	conocimiento
contentar	contentamiento
cornisa	cornisamiento
correr	corrimiento
cuestionar	cuestionamiento
debilitar	debilitamiento
derretir	derretimiento
derrocar	derrocamiento
desalojar	desalojamiento
desaparecer	desaparecimiento
desbordar	desbordamiento
descifrar	desciframiento
desconocer	desconocimiento
descreer	descreimiento
descubrir	descubrimiento
desdoblar	desdoblamiento
desencantar	desencantamiento
desentenderse	desentendimiento
desmenuzar	desmenuzamiento
despegar	despegamiento
detener	detenimiento
discernir	discernimiento
disentir	disentimiento
distanciar	distanciamiento
embolsar	embolsamiento
embotellar	embotellamiento
empadronar	empadronamiento
empalar	empalamiento
empoderar	empoderamiento
enajenar	enajenamiento
enamora	enamoramiento
encabezar	encabezamiento
encantar	encantamiento
encarcelar	encarcelamiento
encharcar	encharcamiento
encoger	encogimiento
encuadrar	encuadramiento
encubrir	encubrimiento
endeudar	endeudamiento
enfriar	enfriamiento
engendrar	engendramiento
enlentecer	enlentecimiento
enraizar	enraizamiento
ensalzar	ensalzamiento
ensuciar	ensuciamiento
entablar	entablamiento
entender	entendimiento
enterrar	enterramiento
entrecruzar	entrecruzamiento
entrenar	entrenamiento
entretener	entretenimiento
entrometer	entrometimiento
envejecer	envejecimiento
envolver	envolvimiento
escalonar	escalonamiento
escoger	escogimiento
escudriñar	escudriñamiento
espaciar	espaciamiento
estirar	estiramiento
fortalecer	fortalecimiento
forzar	forzamiento
funcionar	funcionamiento
hinchar	hinchamiento
hostigar	hostigamiento
igualar	igualamiento
incumplir	incumplimiento
involucrar	involucramiento
lanzar	lanzamiento
levantar	levantamiento
lucir	lucimiento
mantener	mantenimiento
merecer	merecimiento
mirar	miramiento
nacer	nacimiento
padecer	padecimiento
perfeccionar	perfeccionamiento
prolongar	prolongamiento
racionar	racionamiento
reagrupar	reagrupamiento
rebosar	rebosamiento
rebuscar	rebuscamiento
reclutar	reclutamiento
reconocer	reconocimiento
redescubrir	redescubrimiento
reflotar	reflotamiento
refrenar	refrenamiento
relajar	relajamiento
replantear	replanteamiento
retorcer	retorcimiento
revelar	revelamiento
robustecer	robustecimiento
sacudir	sacudimiento
salvar	salvamiento
sanear	saneamiento
seguir	seguimiento
sostener	sostenimiento
soterrar	soterramiento
torpedear	torpedeamiento
tratar	tratamiento
