abarrotar	desabarrotar
abastecer	desabastecer
aburrir	desaburrir
acatar	desacatar
aconsejar	desaconsejar
acoplamiento	desacoplamiento
acoplar	desacoplar
acostumbrar	desacostumbrar
acuerdo	desacuerdo
adormecer	desadormecer
afección	desafección
afecto	desafecto
afeitar	desafeitar
afiar	desafiar
aficionar	desaficionar
afición	desafición
afijar	desafijar
afinadamente	desafinadamente
afina	desafinar
afortunado	desafortunado
fuero	desafuero
agota	desagotar
agraciar	desagraciar
agradar	desagradar
agradecer	desagradecer
agrega	desagregar
aguar	desaguar
aherrojar	desaherrojar
ahogar	desahogar
ahorro	desahorro
ahuciar	desahuciar
ahumar	desahumar
aislar	desaislar
alabar	desalabar
alentar	desalentar
alforjar	desalforjar
alinear	desalinear
almenar	desalmenar
alojar	desalojar
amar	desamar
amoblar	desamoblar
amotinarse	desamotinarse
amueblar	desamueblar
andar	desandar
animar	desanimar
anudar	desanudar
apacible	desapacible
aparecer	desaparecer
apañar	desapañar
apegar	desapegar
aplicado	desaplicado
aprender	desaprender
aparir	desaprir
arbolar	desarbolar
armar	desarmar
arraigar	desarraigar
arrollar	desarrollar
arropar	desarropar
arrugar	desarrugar
articular	desarticular
aseado	desaseado
asir	desasir
atapar	desatapar
atar	desatar
atraillar	desatraillar
atravesar	desatravesar
avezar	desavezar
ayudar	desayudar
ayunar	desayunar
ayuntar	desayuntar
añudar	desañudar
barahustar	desbarahustar
barajustar	desbarajustar
escabullirse	descabullirse
cambiar	descambiar
cansar	descansar
cantillo	descantillar
capirote	descapirotar
capitalizar	descapitalizar
cariño	descariño
cartelización	descartelización
catolizar	descatolizar
cañar	descañar
centrar	descentrar
cera	descerar
color	descolorir
comer	descomer
componer	descomponer
confiar	desconfiar
congelar	descongelar
congestionar	descongestionar
congestivo	descongestivo
congestión	descongestión
conhortar	desconhortar
conocer	desconocer
consejar	desconsejar
conversar	desconversar
coordinación	descoordinación
coordinar	descoordinar
correr	descorrer
cortesía	descortesía
cortés	descortés
crecer	descrecer
creer	descreer
crinar	descrinar
cuidar	descuidar
curtir	descurtir
dicha	desdicha
doblar	desdoblar
donar	desdonar
economía	deseconomía
educar	deseducar
embarcadero	desembarcadero
embolsillar	desembolsillar
embravecer	desembravecer
embravecimiento	desembravecimiento
embullar	desembullar
semejar	desemejar
empedrar	desempedrar
empercudir	desempercudir
empeñar	desempeñar
empolva	desempolvar
empotrar	desempotrar
empuñar	desempuñar
enastar	desenastar
encadenar	desencadenar
encajar	desencajar
encalabrinar	desencalabrinar
encantar	desencantar
encanto	desencanto
encarcelar	desencarcelar
encarecer	desencarecer
encarrar	desencarrar
encartar	desencartar
encasar	desencasar
encentrar	desencentrar
enchipar	desenchipar
enclochar	desenclochar
encoger	desencoger
encorvar	desencorvar
enfundar	desenfundar
enfurecer	desenfurecer
engarrafar	desengarrafar
engañar	desengañar
engranar	desengranar
enhadar	desenhadar
enhastiar	desenhastiar
enhetrar	desenhetrar
enhuesar	desenhuesar
enlodar	desenlodar
enmochilar	desenmochilar
enmohecer	desenmohecer
enmudecer	desenmudecer
enraiza	desenraizar
enrolla	desenrollar
enrudecer	desenrudecer
enseña	desenseñar
ensoberbecer	desensoberbecer
entablar	desentablar
entender	desentenderse
enterra	desenterrar
entullecer	desentollecer
entorpecer	desentorpecer
entrenar	desentrenar
entropezar	desentropezar
entumecer	desentumecer
entumir	desentumir
enyugar	desenyugar
enyuntar	desenyuntar
esperar	desesperar
estima	desestimar
estresar	desestresar
fallece	desfallecer
favorable	desfavorable
favorecer	desfavorecer
ferrar	desferrar
fonologización	desfonologización
fortalecer	desfortalecer
gañir	desgañitarse
gracia	desgracia
grado	desgrado
graduar	desgraduar
guarnecer	desguarnecer
guarnir	desguarnir
habita	deshabitar
habitua	deshabituar
habitua	deshabituar
hace	deshacer
hebillar	deshebillar
heredar	desheredar
herrar	desherrar
hila	deshilar
hilvanar	deshilvanar
hincha	deshinchar
hoja	deshojar
honest	deshonesto
honor	deshonor
humedecer	deshumedecer
ilusión	desilusión
imana	desimanar
imanta	desimantar
información	desinformación
inhibir	desinhibir
interé	desinterés
leal	desleal
lía	desliar
lustrar	deslustrar
magnetización	desmagnetización
mamparar	desmamparar
marcar	desmarcar
menti	desmentir
menuza	desmenuzar
merecer	desmerecer
mitifica	desmitificar
moch	desmochar
moler	desmoler
mont	desmontar
monta	desmontar
moralizar	desmoralizar
mullir	desmullir
multiplica	desmultiplicar
nublad	desnublado
nutrir	desnutrir
obedecer	desobedecer
obediente	desobediente
oprimir	desoprimir
ordenar	desordenar
organizar	desorganizar
oxigenar	desoxigenar
oír	desoír
pagar	despagar
parear	desparear
parecer	desparecer
pasmar	despasmar
pat	despatarrar
pat	despatarrarse
pecho	despecho
pegar	despegar
pelote	despelotar
pelota	despelotar
pelota	despelotarse
percudir	despercudir
perfecto	desperfecto
pesca	despesca
pinta	despintar
pintarse	despintarse
placer	desplacer
potro	despotricar
precavido	desprecavido
prender	desprender
preocuparse	despreocuparse
presuriza	despresurizar
privanza	desprivanza
privar	desprivar
prohibición	desprohibición
prohibir	desprohibir
proporcionar	desproporcionar
propósito	despropósito
proveer	desproveer
raigar	desraigar
tajar	destajar
tajar	destajo
taquear	destaquear
tender	destender
tensar	destensar
tentar	destentar
toca	destocar
trincar	destrincar
trizar	destrizar
trocar	destrocar
tullecer	destullecer
ubicar	desubicar
uncir	desuncir
unir	desunir
