abandonan	abandonarás
acceden	accederás
aprenden	aprenderás
aseguran	asegurarás
asisten	asistirás
aumentan	aumentarás
buscan	buscarás
casan	casarás
causan	causarás
comparten	compartirás
conducen	conducirás
confirman	confirmarás
consiguen	conseguirás
conservan	conservarás
consisten	consistirás
cuentan	contarás
coordinan	coordinarás
cubren	cubrirás
cumplen	cumplirás
desempeñan	desempeñarás
designan	designarás
ejercen	ejercerás
entienden	entenderás
escapan	escaparás
examinan	examinarás
expresan	expresarás
funcionan	funcionarás
ganan	ganarás
gastan	gastarás
hablan	hablarás
incrementan	incrementarás
intentan	intentarás
juegan	jugarás
llegan	llegarás
localizan	localizarás
paran	pararás
prestan	prestarás
promocionan	promocionarás
publican	publicarás
recuerdan	recordarás
recuperan	recuperarás
representan	representarás
revisan	revisarás
rompen	romperás
sientan	sentarás
señalan	señalarás
solicitan	solicitarás
supervisan	supervisarás
terminan	terminarás
utilizan	utilizarás
