alentaba	alentaríamos
anunciaba	anunciaríamos
aprendía	aprenderíamos
buscaba	buscaríamos
combatía	combatiríamos
comía	comeríamos
completaba	completaríamos
comprendía	comprenderíamos
comprobaba	comprobaríamos
conducía	conduciríamos
confiaba	confiaríamos
confirmaba	confirmaríamos
consolidaba	consolidaríamos
contenía	contendríamos
controlaba	controlaríamos
desarrollaba	desarrollaríamos
determinaba	determinaríamos
dirigía	dirigiríamos
discutía	discutiríamos
elaboraba	elaboraríamos
esperaba	esperaríamos
establecía	estableceríamos
examinaba	examinaríamos
fallaba	fallaríamos
fomentaba	fomentaríamos
formulaba	formularíamos
indicaba	indicaríamos
informaba	informaríamos
instalaba	instalaríamos
intentaba	intentaríamos
limpiaba	limpiaríamos
llevaba	llevaríamos
luchaba	lucharíamos
mencionaba	mencionaríamos
ocurría	ocurriríamos
organizaba	organizaríamos
prestaba	prestaríamos
probaba	probaríamos
proponía	propondríamos
protegía	protegeríamos
publicaba	publicaríamos
reducía	reduciríamos
reemplazaba	reemplazaríamos
robaba	robaríamos
sabía	sabríamos
salvaba	salvaríamos
sugería	sugeriríamos
terminaba	terminaríamos
traía	traeríamos
veía	veríamos
