abandonamos	abandonarían
aceptamos	aceptarían
aprobamos	aprobarían
ayudamos	ayudarían
buscamos	buscarían
celebramos	celebrarían
comenzamos	comenzarían
compartimos	compartirían
construimos	construirían
dimos	darían
definimos	definirían
descargamos	descargarían
descubrimos	descubrirían
designamos	designarían
elegimos	elegirían
entramos	entrarían
escuchamos	escucharían
esperamos	esperarían
fallamos	fallarían
formulamos	formularían
ganamos	ganarían
generamos	generarían
imaginamos	imaginarían
impedimos	impedirían
invertimos	invertirían
fuimos	irían
llamamos	llamarían
manejamos	manejarían
mejoramos	mejorarían
movimos	moverían
ofrecimos	ofrecerían
organizamos	organizarían
parecimos	parecerían
promovimos	promoverían
quedamos	quedarían
recuperamos	recuperarían
reemplazamos	reemplazarían
referimos	referirían
relacionamos	relacionarían
rompimos	romperían
supimos	sabrían
salimos	saldrían
satisficimos	satisfarían
servimos	servirían
señalamos	señalarían
soportamos	soportarían
supervisamos	supervisarían
terminamos	terminarían
verificamos	verificarían
volamos	volarían
