accedisteis	accederás
alcanzasteis	alcanzarás
aparecisteis	aparecerás
bebisteis	beberás
casasteis	casarás
combatisteis	combatirás
compartisteis	compartirás
completasteis	completarás
comprendisteis	comprenderás
conservasteis	conservarás
considerasteis	considerarás
contuvisteis	contendrás
continuasteis	continuarás
decidisteis	decidirás
definisteis	definirás
demostrasteis	demostrarás
detuvisteis	detendrás
determinasteis	determinarás
encontrasteis	encontrarás
escuchasteis	escucharás
esperasteis	esperarás
establecisteis	establecerás
examinasteis	examinarás
fallasteis	fallarás
financiasteis	financiarás
impedisteis	impedirás
implicasteis	implicarás
incrementasteis	incrementarás
llamasteis	llamarás
llevasteis	llevarás
manejasteis	manejarás
mostrasteis	mostrarás
ocurristeis	ocurrirás
operasteis	operarás
perdisteis	perderás
permanecisteis	permanecerás
pusisteis	pondrás
preguntasteis	preguntarás
promovisteis	promoverás
quedasteis	quedarás
reconocisteis	reconocerás
reemplazasteis	reemplazarás
regresasteis	regresarás
resolvisteis	resolverás
sugeristeis	sugerirás
superasteis	superarás
supervisasteis	supervisarás
trajisteis	traerás
verificasteis	verificarás
votasteis	votarás
