aceptará	aceptarían
alcanzará	alcanzarían
analizará	analizarían
aprenderá	aprenderían
aumentará	aumentarían
buscará	buscarían
completará	completarían
comprobará	comprobarían
contribuirá	contribuirían
coordinará	coordinarían
creará	crearían
cuidará	cuidarían
definirá	definirían
dejará	dejarían
desarrollará	desarrollarían
descubrirá	descubrirían
destruirá	destruirían
ejercerá	ejercerían
eliminará	eliminarían
entenderá	entenderían
entrará	entrarían
escapará	escaparían
esperará	esperarían
establecerá	establecerían
evadirá	evadirían
fallará	fallarían
generará	generarían
habilitará	habilitarían
hará	harían
impondrá	impondrían
investigará	investigarían
jugará	jugarían
leerá	leerían
logrará	lograrían
mantendrá	mantendrían
matará	matarían
mencionará	mencionarían
mostrará	mostrarían
moverá	moverían
partirá	partirían
preguntará	preguntarían
preservará	preservarían
recuperará	recuperarían
reducirá	reducirían
relacionará	relacionarían
responderá	responderían
saldrá	saldrían
sobrevivirá	sobrevivirían
supervisará	supervisarían
verá	verían
