administrábamos	administramos
ampliábamos	ampliamos
aprendíamos	aprendimos
atendíamos	atendimos
atraíamos	atrajimos
averiguábamos	averiguamos
bebíamos	bebimos
caminábamos	caminamos
celebrábamos	celebramos
completábamos	completamos
comprobábamos	comprobamos
conducíamos	condujimos
conservábamos	conservamos
considerábamos	consideramos
contábamos	contamos
conteníamos	contuvimos
cooperábamos	cooperamos
corríamos	corrimos
definíamos	definimos
desarrollábamos	desarrollamos
destacábamos	destacamos
determinábamos	determinamos
elegíamos	elegimos
estábamos	estuvimos
facilitábamos	facilitamos
fomentábamos	fomentamos
funcionábamos	funcionamos
hacíamos	hicimos
indicábamos	indicamos
introducíamos	introdujimos
invertíamos	invertimos
involucrábamos	involucramos
jugábamos	jugamos
localizábamos	localizamos
ocurríamos	ocurrimos
preservábamos	preservamos
prestábamos	prestamos
probábamos	probamos
promovíamos	promovimos
proveíamos	proveímos
quedábamos	quedamos
recibíamos	recibimos
sacábamos	sacamos
salíamos	salimos
sentíamos	sentimos
servíamos	servimos
sobrevivíamos	sobrevivimos
teníamos	tuvimos
tomábamos	tomamos
votábamos	votamos
