abordado	abordabas
bebido	bebías
caminado	caminabas
cantado	cantabas
causado	causabas
comprado	comprabas
comprobado	comprobabas
conocido	conocías
conseguido	conseguías
consistido	consistías
coordinado	coordinabas
cortado	cortabas
creído	creías
defendido	defendías
dependido	dependías
descubierto	descubrías
entendido	entendías
escrito	escribías
establecido	establecías
garantizado	garantizabas
habido	habías
habilitado	habilitabas
imaginado	imaginabas
impuesto	imponías
informado	informabas
investigado	investigabas
involucrado	involucrabas
ido	ibas
llorado	llorabas
localizado	localizabas
manejado	manejabas
mostrado	mostrabas
ocurrido	ocurrías
participado	participabas
partido	partías
preguntado	preguntabas
probado	probabas
propuesto	proponías
publicado	publicabas
recibido	recibías
reconocido	reconocías
recordado	recordabas
requerido	requerías
respondido	respondías
seguido	seguías
seleccionado	seleccionabas
sobrevivido	sobrevivías
supervisado	supervisabas
tomado	tomabas
visto	veías
