alcanzaréis	alcanzarías
ampliaréis	ampliarías
animaréis	animarías
apareceréis	aparecerías
aprovecharéis	aprovecharías
beberéis	beberías
caeréis	caerías
compartiréis	compartirías
compraréis	comprarías
comprobaréis	comprobarías
conoceréis	conocerías
consideraréis	considerarías
consistiréis	consistirías
consultaréis	consultarías
daréis	darías
designaréis	designarías
destacaréis	destacarías
detendréis	detendrías
disfrutaréis	disfrutarías
esperaréis	esperarías
estudiaréis	estudiarías
evadiréis	evadirías
firmaréis	firmarías
funcionaréis	funcionarías
ganaréis	ganarías
generaréis	generarías
guardaréis	guardarías
habréis	habrías
hablaréis	hablarías
incrementaréis	incrementarías
lloraréis	llorarías
mataréis	matarías
modificaréis	modificarías
necesitaréis	necesitarías
observaréis	observarías
perderéis	perderías
prepararéis	prepararías
prevendréis	prevendrías
probaréis	probarías
promoveréis	promoverías
proporcionaréis	proporcionarías
realizaréis	realizarías
reduciréis	reducirías
resolveréis	resolverías
romperéis	romperías
seréis	serías
serviréis	servirías
superaréis	superarías
tomaréis	tomarías
verificaréis	verificarías
