abres/abrís	abriríais
alientas/alentás	alentaríais
analizas/analizás	analizaríais
aplicas/aplicás	aplicaríais
asistes/asistís	asistiríais
averiguas/averiguás	averiguaríais
añades/añadís	añadiríais
bebes/bebés	beberíais
combates/combatís	combatiríais
conduces/conducís	conduciríais
continúas/continuás	continuaríais
demuestras/demostrás	demostraríais
descargas/descargás	descargaríais
descubres/descubrís	descubriríais
designas/designás	designaríais
diriges/dirigís	dirigiríais
empiezas/empezás	empezaríais
enfrentas/enfrentás	enfrentaríais
envías/enviás	enviaríais
escapas/escapás	escaparíais
escribes/escribís	escribiríais
evades/evadís	evadiríais
financias/financiás	financiaríais
firmas/firmás	firmaríais
formas/formás	formaríais
funcionas/funcionás	funcionaríais
garantizas/garantizás	garantizaríais
guardas/guardás	guardaríais
has	habríais
habilitas/habilitás	habilitaríais
inicias/iniciás	iniciaríais
intentas/intentás	intentaríais
introduces/introducís	introduciríais
luchas/luchás	lucharíais
mantienes/mantenés	mantendríais
muestras/mostrás	mostraríais
mueves/movés	moveríais
pones/ponés	pondríais
provees/proveés	proveeríais
quedas/quedás	quedaríais
realizas/realizás	realizaríais
recoges/recogés	recogeríais
resuelves/resolvés	resolveríais
respondes/respondés	responderíais
sirves/servís	serviríais
tomas/tomás	tomaríais
traes/traés	traeríais
tratas/tratás	trataríais
vuelas/volás	volaríais
votas/votás	votaríais
