alentamos	alentará
aplicamos	aplicará
aseguramos	asegurará
atrajimos	atraerá
avanzamos	avanzará
ayudamos	ayudará
bailamos	bailará
buscamos	buscará
conseguimos	conseguirá
construimos	construirá
cortamos	cortará
cubrimos	cubrirá
decidimos	decidirá
desarrollamos	desarrollará
designamos	designará
dirigimos	dirigirá
disfrutamos	disfrutará
ejercimos	ejercerá
elaboramos	elaborará
enfrentamos	enfrentará
entramos	entrará
escribimos	escribirá
estudiamos	estudiará
evaluamos	evaluará
fomentamos	fomentará
gastamos	gastará
generamos	generará
guardamos	guardará
hablamos	hablará
limitamos	limitará
lloramos	llorará
luchamos	luchará
ocurrimos	ocurrirá
olvidamos	olvidará
permitimos	permitirá
preguntamos	preguntará
presentamos	presentará
quedamos	quedará
reemplazamos	reemplazará
relacionamos	relacionará
respetamos	respetará
respondimos	responderá
sobrevivimos	sobrevivirá
tuvimos	tendrá
tomamos	tomará
trabajamos	trabajará
vimos	verá
viajamos	viajará
vivimos	vivirá
volvimos	volverá
