aceleraron	aceleraría
animaron	animaría
anunciaron	anunciaría
apoyaron	apoyaría
caminaron	caminaría
combatieron	combatiría
comieron	comería
compraron	compraría
concluyeron	concluiría
consideraron	consideraría
contaron	contaría
continuaron	continuaría
controlaron	controlaría
cooperaron	cooperaría
creyeron	creería
cumplieron	cumpliría
descargaron	descargaría
destruyeron	destruiría
determinaron	determinaría
eliminaron	eliminaría
encontraron	encontraría
entendieron	entendería
estuvieron	estaría
existieron	existiría
exploraron	exploraría
garantizaron	garantizaría
hubieron	habría
habilitaron	habilitaría
implicaron	implicaría
impusieron	impondría
indicaron	indicaría
informaron	informaría
iniciaron	iniciaría
introdujeron	introduciría
invirtieron	invertiría
limitaron	limitaría
murieron	moriría
ofrecieron	ofrecería
operaron	operaría
oyeron	oiría
pararon	pararía
pusieron	pondría
prestaron	prestaría
proveyeron	proveería
resolvieron	resolvería
revisaron	revisaría
trabajaron	trabajaría
usaron	usaría
vivieron	viviría
volaron	volaría
