accedido	accedes/accedés
acordado	acuerdas/acordás
ampliado	amplías/ampliás
aplicado	aplicas/aplicás
aprovechado	aprovechas/aprovechás
asumido	asumes/asumís
averiguado	averiguas/averiguás
cambiado	cambias/cambiás
caminado	caminas/caminás
casado	casas/casás
causado	causas/causás
comido	comes/comés
completado	completas/completás
comprendido	comprendes/comprendés
comprobado	compruebas/comprobás
conducido	conduces/conducís
considerado	consideras/considerás
convertido	conviertes/convertís
crecido	creces/crecés
cuidado	cuidas/cuidás
demostrado	demuestras/demostrás
dependido	dependes/dependés
elaborado	elaboras/elaborás
entendido	entiendes/entendés
existido	existes/existís
fallado	fallas/fallás
financiado	financias/financiás
formado	formas/formás
ganado	ganas/ganás
incluido	incluyes/incluís
instalado	instalas/instalás
invertido	inviertes/invertís
investigado	investigas/investigás
ido	vas
llamado	llamas/llamás
logrado	logras/lográs
manejado	manejas/manejás
mantenido	mantienes/mantenés
muerto	mueres/morís
oído	oyes/oís
pagado,pago	pagas/pagás
probado	pruebas/probás
recogido	recoges/recogés
reforzado	refuerzas/reforzás
salido	sales/salís
sido	eres/sos
señalado	señalas/señalás
sobrevivido	sobrevives/sobrevivís
sumado	sumas/sumás
tomado	tomas/tomás
