abordáis	abordaron
abrís	abrieron
aceleráis	aceleraron
actuáis	actuaron
aplicáis	aplicaron
atendéis	atendieron
bailáis	bailaron
bebéis	bebieron
buscáis	buscaron
cerráis	cerraron
combatís	combatieron
comenzáis	comenzaron
conserváis	conservaron
consolidáis	consolidaron
consultáis	consultaron
creáis	crearon
cuidáis	cuidaron
detenéis	detuvieron
ejecutáis	ejecutaron
escucháis	escucharon
fomentáis	fomentaron
guardáis	guardaron
incluís	incluyeron
informáis	informaron
involucráis	involucraron
limitáis	limitaron
llamáis	llamaron
medís	midieron
mejoráis	mejoraron
modificáis	modificaron
ocurrís	ocurrieron
organizáis	organizaron
participáis	participaron
preserváis	preservaron
prevenís	previnieron
promocionáis	promocionaron
promovéis	promovieron
proporcionáis	proporcionaron
recuperáis	recuperaron
regresáis	regresaron
representáis	representaron
respondéis	respondieron
seguís	siguieron
seleccionáis	seleccionaron
sobrevivís	sobrevivieron
sugerís	sugirieron
sumáis	sumaron
tocáis	tocaron
verificáis	verificaron
viajáis	viajaron
