abandono	abandonabais
administro	administrabais
adquiero	adquiríais
agradezco	agradecíais
amplío	ampliabais
anuncio	anunciabais
aplico	aplicabais
avanzo	avanzabais
bebo	bebíais
busco	buscabais
cambio	cambiabais
confío	confiabais
consolido	consolidabais
contengo	conteníais
coordino	coordinabais
corro	corríais
dejo	dejabais
descargo	descargabais
describo	describíais
designo	designabais
discuto	discutíais
disfruto	disfrutabais
elijo	elegíais
empiezo	empezabais
enfrento	enfrentabais
enseño	enseñabais
entro	entrabais
examino	examinabais
fortalezco	fortalecíais
habilito	habilitabais
incorporo	incorporabais
inicio	iniciabais
limpio	limpiabais
mido	medíais
mejoro	mejorabais
paro	parabais
paso	pasabais
pierdo	perdíais
produzco	producíais
promuevo	promovíais
refuerzo	reforzabais
relaciono	relacionabais
sé	sabíais
salgo	salíais
selecciono	seleccionabais
sufro	sufríais
trabajo	trabajabais
utilizo	utilizabais
vendo	vendíais
vengo	veníais
