abandonaba	abandonó
aceleraba	aceleró
ampliaba	amplió
añadía	añadió
bailaba	bailó
compraba	compró
conducía	condujo
confiaba	confió
confirmaba	confirmó
conservaba	conservó
contaba	contó
cortaba	cortó
creía	creyó
descubría	descubrió
designaba	designó
entendía	entendió
escribía	escribió
esperaba	esperó
evadía	evadió
evaluaba	evaluó
evitaba	evitó
expresaba	expresó
formulaba	formuló
generaba	generó
imaginaba	imaginó
impedía	impidió
implicaba	implicó
iniciaba	inició
involucraba	involucró
iba	fue
limpiaba	limpió
mencionaba	mencionó
miraba	miró
mostraba	mostró
movía	movió
necesitaba	necesitó
pasaba	pasó
permanecía	permaneció
preguntaba	preguntó
preservaba	preservó
prevenía	previno
promovía	promovió
proponía	propuso
protegía	protegió
refería	refirió
seguía	siguió
sufría	sufrió
sugería	sugirió
sumaba	sumó
supervisaba	supervisó
