aceptan	aceptasteis
animan	animasteis
bailan	bailasteis
cantan	cantasteis
completan	completasteis
concluyen	concluisteis
consolidan	consolidasteis
contribuyen	contribuisteis
convierten	convertisteis
creen	creísteis
desarrollan	desarrollasteis
descubren	descubristeis
desempeñan	desempeñasteis
eliminan	eliminasteis
enfrentan	enfrentasteis
escriben	escribisteis
esperan	esperasteis
evalúan	evaluasteis
existen	exististeis
exploran	explorasteis
fortalecen	fortalecisteis
garantizan	garantizasteis
implican	implicasteis
incorporan	incorporasteis
integran	integrasteis
limitan	limitasteis
limpian	limpiasteis
lloran	llorasteis
localizan	localizasteis
miden	medisteis
mueren	moristeis
olvidan	olvidasteis
oyen	oísteis
pagan	pagasteis
parecen	parecisteis
ponen	pusisteis
proponen	propusisteis
proporcionan	proporcionasteis
proveen	proveísteis
resuelven	resolvisteis
sientan	sentasteis
sienten	sentisteis
son	fuisteis
sirven	servisteis
sugieren	sugeristeis
supervisan	supervisasteis
tienen	tuvisteis
venden	vendisteis
verifican	verificasteis
votan	votasteis
