abordáis	abordarían
agradecéis	agradecerían
anunciáis	anunciarían
asistís	asistirían
aumentáis	aumentarían
añadís	añadirían
bailáis	bailarían
bebéis	beberían
caéis	caerían
comprendéis	comprenderían
concluís	concluirían
construís	construirían
contribuís	contribuirían
creéis	creerían
cubrís	cubrirían
dais	darían
defendéis	defenderían
detenéis	detendrían
discutís	discutirían
entendéis	entenderían
escribís	escribirían
expresáis	expresarían
falláis	fallarían
formáis	formarían
gastáis	gastarían
intentáis	intentarían
llegáis	llegarían
lucháis	lucharían
manejáis	manejarían
matáis	matarían
medís	medirían
miráis	mirarían
organizáis	organizarían
participáis	participarían
permitís	permitirían
preserváis	preservarían
prestáis	prestarían
promocionáis	promocionarían
publicáis	publicarían
quedáis	quedarían
reducís	reducirían
relacionáis	relacionarían
resolvéis	resolverían
robáis	robarían
salís	saldrían
soportáis	soportarían
sumáis	sumarían
supervisáis	supervisarían
tenéis	tendrían
visitáis	visitarían
