agradecimos	agradecería
asumimos	asumiría
bailamos	bailaría
caímos	caería
caminamos	caminaría
combatimos	combatiría
compartimos	compartiría
comprendimos	comprendería
comprobamos	comprobaría
conocimos	conocería
conservamos	conservaría
creímos	creería
destruimos	destruiría
disfrutamos	disfrutaría
dormimos	dormiría
elaboramos	elaboraría
elegimos	elegiría
eliminamos	eliminaría
establecimos	establecería
expresamos	expresaría
garantizamos	garantizaría
gestionamos	gestionaría
identificamos	identificaría
integramos	integraría
fuimos	iría
limitamos	limitaría
llegamos	llegaría
logramos	lograría
luchamos	lucharía
manejamos	manejaría
necesitamos	necesitaría
ofrecimos	ofrecería
parecimos	parecería
partimos	partiría
pensamos	pensaría
permitimos	permitiría
produjimos	produciría
quedamos	quedaría
reemplazamos	reemplazaría
relacionamos	relacionaría
revisamos	revisaría
salimos	saldría
satisficimos	satisfaría
seleccionamos	seleccionaría
fuimos	sería
solicitamos	solicitaría
sugerimos	sugeriría
sumamos	sumaría
tocamos	tocaría
volvimos	volvería
