actuaré	actuarías
administraré	administrarías
adoptaré	adoptarías
agradeceré	agradecerías
alentaré	alentarías
apareceré	aparecerías
aseguraré	asegurarías
bailaré	bailarías
cerraré	cerrarías
completaré	completarías
concluiré	concluirías
correré	correrías
creceré	crecerías
determinaré	determinarías
discutiré	discutirías
elaboraré	elaborarías
elegiré	elegirías
esperaré	esperarías
evitaré	evitarías
existiré	existirías
exploraré	explorarías
financiaré	financiarías
gastaré	gastarías
guardaré	guardarías
hablaré	hablarías
iniciaré	iniciarías
intentaré	intentarías
llevaré	llevarías
mantendré	mantendrías
olvidaré	olvidarías
pagaré	pagarías
pareceré	parecerías
pasaré	pasarías
permaneceré	permanecerías
permitiré	permitirías
presentaré	presentarías
prestaré	prestarías
produciré	producirías
reduciré	reducirías
sabré	sabrías
sacaré	sacarías
salvaré	salvarías
seguiré	seguirías
seleccionaré	seleccionarías
sentaré	sentarías
seré	serías
señalaré	señalarías
solicitaré	solicitarías
sumaré	sumarías
uniré	unirías
