abordamos	abordan
accedemos	acceden
aceptamos	aceptan
actuamos	actúan
adoptamos	adoptan
ampliamos	amplían
animamos	animan
aprendemos	aprenden
aprobamos	aprueban
aseguramos	aseguran
asumimos	asumen
celebramos	celebran
cerramos	cierran
combatimos	combaten
compartimos	comparten
comprobamos	comprueban
concluimos	concluyen
confiamos	confían
conseguimos	consiguen
controlamos	controlan
coordinamos	coordinan
damos	dan
definimos	definen
elegimos	eligen
enviamos	envían
establecemos	establecen
estamos	están
existimos	existen
fallamos	fallan
generamos	generan
impedimos	impiden
vamos	van
leemos	leen
llegamos	llegan
mantenemos	mantienen
morimos	mueren
obtenemos	obtienen
organizamos	organizan
partimos	parten
pensamos	piensan
protegemos	protegen
recibimos	reciben
referimos	refieren
respetamos	respetan
somos	son
sumamos	suman
supervisamos	supervisan
trabajamos	trabajan
vendemos	venden
venimos	vienen
