abandonando	abandonaré
abordando	abordaré
aceptando	aceptaré
acordando	acordaré
alcanzando	alcanzaré
analizando	analizaré
animando	animaré
confirmando	confirmaré
considerando	consideraré
consistiendo	consistiré
consolidando	consolidaré
consultando	consultaré
contando	contaré
cubriendo	cubriré
defendiendo	defenderé
ejecutando	ejecutaré
encontrando	encontraré
fortaleciendo	fortaleceré
garantizando	garantizaré
generando	generaré
guardando	guardaré
hablando	hablaré
haciendo	haré
identificando	identificaré
iniciando	iniciaré
introduciendo	introduciré
invirtiendo	invertiré
limpiando	limpiaré
llorando	lloraré
manteniendo	mantendré
midiendo	mediré
mejorando	mejoraré
muriendo	moriré
mostrando	mostraré
preparando	prepararé
probando	probaré
proponiendo	propondré
proporcionando	proporcionaré
recibiendo	recibiré
reconociendo	reconoceré
refiriendo	referiré
regresando	regresaré
seleccionando	seleccionaré
sugiriendo	sugeriré
terminando	terminaré
tratando	trataré
viendo	veré
verificando	verificaré
viajando	viajaré
volviendo	volveré
