acelerado	aceleraron
alcanzado	alcanzaron
ampliado	ampliaron
aparecido	aparecieron
atendido	atendieron
bailado	bailaron
buscado	buscaron
cantado	cantaron
compartido	compartieron
considerado	consideraron
convertido	convirtieron
cubierto	cubrieron
cumplido	cumplieron
dicho	dijeron
disfrutado	disfrutaron
ejecutado	ejecutaron
encontrado	encontraron
enfrentado	enfrentaron
examinado	examinaron
explicado	explicaron
fomentado	fomentaron
formulado	formularon
generado	generaron
habido	hubieron
habilitado	habilitaron
hecho	hicieron
identificado	identificaron
impuesto	impusieron
indicado	indicaron
informado	informaron
intentado	intentaron
limitado	limitaron
llegado	llegaron
llorado	lloraron
movido	movieron
pagado,pago	pagaron
partido	partieron
probado	probaron
protegido	protegieron
recibido	recibieron
reemplazado	reemplazaron
referido	refirieron
reforzado	reforzaron
revisado	revisaron
sentido	sintieron
sobrevivido	sobrevivieron
sugerido	sugirieron
tocado	tocaron
tomado	tomaron
vivido	vivieron
