abandonamos	abandonaremos
abordamos	abordaremos
aseguramos	aseguraremos
añadimos	añadiremos
bebimos	beberemos
combatimos	combatiremos
completamos	completaremos
conservamos	conservaremos
contuvimos	contendremos
coordinamos	coordinaremos
cubrimos	cubriremos
designamos	designaremos
detuvimos	detendremos
enviamos	enviaremos
estudiamos	estudiaremos
fallamos	fallaremos
fomentamos	fomentaremos
fortalecimos	fortaleceremos
hablamos	hablaremos
identificamos	identificaremos
imaginamos	imaginaremos
fuimos	iremos
llevamos	llevaremos
luchamos	lucharemos
mencionamos	mencionaremos
mostramos	mostraremos
obtuvimos	obtendremos
ocurrimos	ocurriremos
oímos	oiremos
parecimos	pareceremos
pasamos	pasaremos
pedimos	pediremos
permanecimos	permaneceremos
permitimos	permitiremos
pudimos	podremos
preguntamos	preguntaremos
preparamos	prepararemos
proporcionamos	proporcionaremos
redujimos	reduciremos
requerimos	requeriremos
supimos	sabremos
salvamos	salvaremos
satisficimos	satisfaremos
fuimos	seremos
supervisamos	supervisaremos
tuvimos	tendremos
tocamos	tocaremos
trabajamos	trabajaremos
vendimos	venderemos
verificamos	verificaremos
