actuábamos	actuará
ampliábamos	ampliará
aparecíamos	aparecerá
añadíamos	añadirá
bebíamos	beberá
causábamos	causará
comprábamos	comprará
conocíamos	conocerá
construíamos	construirá
consultábamos	consultará
convertíamos	convertirá
coordinábamos	coordinará
decidíamos	decidirá
describíamos	describirá
dirigíamos	dirigirá
dormíamos	dormirá
enfrentábamos	enfrentará
entendíamos	entenderá
escribíamos	escribirá
estábamos	estará
examinábamos	examinará
explicábamos	explicará
explorábamos	explorará
firmábamos	firmará
generábamos	generará
gestionábamos	gestionará
habíamos	habrá
hablábamos	hablará
hacíamos	hará
identificábamos	identificará
involucrábamos	involucrará
limitábamos	limitará
manejábamos	manejará
mejorábamos	mejorará
ocurríamos	ocurrirá
ofrecíamos	ofrecerá
pagábamos	pagará
participábamos	participará
partíamos	partirá
pasábamos	pasará
perdíamos	perderá
permitíamos	permitirá
prestábamos	prestará
proponíamos	propondrá
relacionábamos	relacionará
seleccionábamos	seleccionará
servíamos	servirá
solicitábamos	solicitará
sugeríamos	sugerirá
veíamos	verá
