analizabais	analizó
aparecíais	apareció
aprendíais	aprendió
aprobabais	aprobó
asumíais	asumió
avanzabais	avanzó
casabais	casó
comenzabais	comenzó
comíais	comió
completabais	completó
conseguíais	consiguió
consultabais	consultó
controlabais	controló
cooperabais	cooperó
corríais	corrió
creíais	creyó
cuidabais	cuidó
dabais	dio
dependíais	dependió
deteníais	detuvo
determinabais	determinó
discutíais	discutió
estabais	estuvo
evitabais	evitó
examinabais	examinó
explicabais	explicó
explorabais	exploró
financiabais	financió
fomentabais	fomentó
formulabais	formuló
hacíais	hizo
identificabais	identificó
incluíais	incluyó
incorporabais	incorporó
iniciabais	inició
llegabais	llegó
llevabais	llevó
llorabais	lloró
moríais	murió
mostrabais	mostró
necesitabais	necesitó
olvidabais	olvidó
perdíais	perdió
publicabais	publicó
recibíais	recibió
respondíais	respondió
sabíais	supo
sacabais	sacó
sugeríais	sugirió
votabais	votó
