abandonaron	abandonará
acordaron	acordará
adquirieron	adquirirá
ampliaron	ampliará
analizaron	analizará
asumieron	asumirá
avanzaron	avanzará
comprendieron	comprenderá
consiguieron	conseguirá
conservaron	conservará
consolidaron	consolidará
contribuyeron	contribuirá
controlaron	controlará
crearon	creará
cubrieron	cubrirá
dieron	dará
definieron	definirá
describieron	describirá
desempeñaron	desempeñará
designaron	designará
disfrutaron	disfrutará
eliminaron	eliminará
entendieron	entenderá
escaparon	escapará
estuvieron	estará
evadieron	evadirá
exploraron	explorará
expresaron	expresará
generaron	generará
llevaron	llevará
manejaron	manejará
mejoraron	mejorará
miraron	mirará
modificaron	modificará
observaron	observará
oyeron	oirá
pararon	parará
participaron	participará
partieron	partirá
prepararon	preparará
probaron	probará
promovieron	promoverá
proveyeron	proveerá
representaron	representará
rompieron	romperá
sirvieron	servirá
soportaron	soportará
supervisaron	supervisará
vinieron	vendrá
volaron	volará
