atraes/atraés	atraéis
aumentas/aumentás	aumentáis
cambias/cambiás	cambiáis
causas/causás	causáis
comprendes/comprendés	comprendéis
concluyes/concluís	concluís
consigues/conseguís	conseguís
conservas/conservás	conserváis
decides/decidís	decidís
defiendes/defendés	defendéis
dejas/dejás	dejáis
duermes/dormís	dormís
ejecutas/ejecutás	ejecutáis
ejerces/ejercés	ejercéis
eliminas/eliminás	elimináis
esperas/esperás	esperáis
estudias/estudiás	estudiáis
financias/financiás	financiáis
gastas/gastás	gastáis
impides/impedís	impedís
impones/imponés	imponéis
incluyes/incluís	incluís
vas	vais
limitas/limitás	limitáis
llamas/llamás	llamáis
lloras/llorás	lloráis
logras/lográs	lográis
luchas/luchás	lucháis
muestras/mostrás	mostráis
partes/partís	partís
permaneces/permanecés	permanecéis
preguntas/preguntás	preguntáis
preservas/preservás	preserváis
pruebas/probás	probáis
recoges/recogés	recogéis
recuerdas/recordás	recordáis
refieres/referís	referís
regresas/regresás	regresáis
robas/robás	robáis
sacas/sacás	sacáis
sales/salís	salís
salvas/salvás	salváis
eres/sos	sois
señalas/señalás	señaláis
solicitas/solicitás	solicitáis
tienes/tenés	tenéis
unes/unís	unís
usas/usás	usáis
verificas/verificás	verificáis
votas/votás	votáis
