actuaremos	actuarías
apareceremos	aparecerías
atenderemos	atenderías
averiguaremos	averiguarías
cantaremos	cantarías
completaremos	completarías
concluiremos	concluirías
confiaremos	confiarías
consultaremos	consultarías
contendremos	contendrías
creeremos	creerías
defenderemos	defenderías
destruiremos	destruirías
dormiremos	dormirías
encontraremos	encontrarías
evaluaremos	evaluarías
existiremos	existirías
fallaremos	fallarías
firmaremos	firmarías
generaremos	generarías
gestionaremos	gestionarías
guardaremos	guardarías
habilitaremos	habilitarías
hablaremos	hablarías
involucraremos	involucrarías
llegaremos	llegarías
mencionaremos	mencionarías
moveremos	moverías
olvidaremos	olvidarías
pondremos	pondrías
preservaremos	preservarías
promocionaremos	promocionarías
proveeremos	proveerías
regresaremos	regresarías
requeriremos	requerirías
responderemos	responderías
revisaremos	revisarías
seguiremos	seguirías
seleccionaremos	seleccionarías
sentiremos	sentirías
serviremos	servirías
solicitaremos	solicitarías
supervisaremos	supervisarías
usaremos	usarías
viajaremos	viajarías
visitaremos	visitarías
viviremos	vivirías
volaremos	volarías
volveremos	volverías
votaremos	votarías
