aceptando	aceptábamos
alcanzando	alcanzábamos
apoyando	apoyábamos
bailando	bailábamos
cayendo	caíamos
cambiando	cambiábamos
caminando	caminábamos
celebrando	celebrábamos
comprobando	comprobábamos
concluyendo	concluíamos
considerando	considerábamos
consistiendo	consistíamos
cortando	cortábamos
creando	creábamos
creyendo	creíamos
diciendo	decíamos
definiendo	definíamos
descubriendo	descubríamos
destruyendo	destruíamos
disfrutando	disfrutábamos
esperando	esperábamos
explorando	explorábamos
firmando	firmábamos
identificando	identificábamos
intentando	intentábamos
introduciendo	introducíamos
invirtiendo	invertíamos
involucrando	involucrábamos
llevando	llevábamos
matando	matábamos
modificando	modificábamos
necesitando	necesitábamos
olvidando	olvidábamos
operando	operábamos
partiendo	partíamos
perdiendo	perdíamos
permitiendo	permitíamos
preservando	preservábamos
produciendo	producíamos
promocionando	promocionábamos
promoviendo	promovíamos
protegiendo	protegíamos
salvando	salvábamos
seleccionando	seleccionábamos
superando	superábamos
teniendo	teníamos
terminando	terminábamos
viniendo	veníamos
visitando	visitábamos
volviendo	volvíamos
