abordé	abordaréis
administré	administraréis
anuncié	anunciaréis
aparecí	apareceréis
apliqué	aplicaréis
aprobé	aprobaréis
asumí	asumiréis
caí	caeréis
completé	completaréis
consulté	consultaréis
contribuí	contribuiréis
controlé	controlaréis
decidí	decidiréis
defendí	defenderéis
dirigí	dirigiréis
discutí	discutiréis
dormí	dormiréis
ejercí	ejerceréis
elaboré	elaboraréis
eliminé	eliminaréis
escribí	escribiréis
estuve	estaréis
fortalecí	fortaleceréis
funcioné	funcionaréis
guardé	guardaréis
hablé	hablaréis
llevé	llevaréis
morí	moriréis
ofrecí	ofreceréis
paré	pararéis
pasé	pasaréis
pensé	pensaréis
pude	podréis
puse	pondréis
presenté	presentaréis
probé	probaréis
recibí	recibiréis
recogí	recogeréis
representé	representaréis
revisé	revisaréis
saqué	sacaréis
satisfice	satisfaréis
serví	serviréis
solicité	solicitaréis
sufrí	sufriréis
tomé	tomaréis
trabajé	trabajaréis
utilicé	utilizaréis
vendí	venderéis
vi	veréis
