adquirieron	adquiriréis
aprobaron	aprobaréis
atendieron	atenderéis
ayudaron	ayudaréis
bailaron	bailaréis
cayeron	caeréis
causaron	causaréis
conocieron	conoceréis
consiguieron	conseguiréis
consolidaron	consolidaréis
contuvieron	contendréis
cortaron	cortaréis
crearon	crearéis
disfrutaron	disfrutaréis
empezaron	empezaréis
estudiaron	estudiaréis
evadieron	evadiréis
fomentaron	fomentaréis
formaron	formaréis
funcionaron	funcionaréis
garantizaron	garantizaréis
hablaron	hablaréis
identificaron	identificaréis
impidieron	impediréis
incrementaron	incrementaréis
indicaron	indicaréis
integraron	integraréis
jugaron	jugaréis
localizaron	localizaréis
miraron	miraréis
modificaron	modificaréis
operaron	operaréis
pasaron	pasaréis
pensaron	pensaréis
permanecieron	permaneceréis
pudieron	podréis
regresaron	regresaréis
relacionaron	relacionaréis
representaron	representaréis
requirieron	requeriréis
respetaron	respetaréis
robaron	robaréis
rompieron	romperéis
siguieron	seguiréis
sirvieron	serviréis
sobrevivieron	sobreviviréis
terminaron	terminaréis
tocaron	tocaréis
usaron	usaréis
viajaron	viajaréis
