administraba	administraste
analizaba	analizaste
anunciaba	anunciaste
aseguraba	aseguraste
atraía	atrajiste
averiguaba	averiguaste
bailaba	bailaste
bebía	bebiste
celebraba	celebraste
compraba	compraste
comprendía	comprendiste
construía	construiste
contribuía	contribuiste
crecía	creciste
cuidaba	cuidaste
describía	describiste
disfrutaba	disfrutaste
ejecutaba	ejecutaste
elaboraba	elaboraste
encontraba	encontraste
enfrentaba	enfrentaste
entendía	entendiste
escuchaba	escuchaste
establecía	estableciste
fomentaba	fomentaste
formaba	formaste
formulaba	formulaste
fortalecía	fortaleciste
imponía	impusiste
indicaba	indicaste
investigaba	investigaste
limitaba	limitaste
lograba	lograste
oía	oíste
prestaba	prestaste
prevenía	previniste
promovía	promoviste
requería	requeriste
seleccionaba	seleccionaste
era	fuiste
servía	serviste
terminaba	terminaste
tocaba	tocaste
unía	uniste
usaba	usaste
veía	viste
verificaba	verificaste
visitaba	visitaste
vivía	viviste
votaba	votaste
