abandonáis	abandonaríais
ampliáis	ampliaríais
analizáis	analizaríais
aprovecháis	aprovecharíais
camináis	caminaríais
concluís	concluiríais
conseguís	conseguiríais
consideráis	consideraríais
consolidáis	consolidaríais
contenéis	contendríais
corréis	correríais
cortáis	cortaríais
crecéis	creceríais
creéis	creeríais
demostráis	demostraríais
ejecutáis	ejecutaríais
entendéis	entenderíais
evadís	evadiríais
evaluáis	evaluaríais
existís	existiríais
funcionáis	funcionaríais
gastáis	gastaríais
gestionáis	gestionaríais
identificáis	identificaríais
incluís	incluiríais
investigáis	investigaríais
jugáis	jugaríais
manejáis	manejaríais
medís	mediríais
mostráis	mostraríais
necesitáis	necesitaríais
observáis	observaríais
ofrecéis	ofreceríais
operáis	operaríais
pedís	pediríais
prevenís	prevendríais
promocionáis	promocionaríais
proporcionáis	proporcionaríais
quedáis	quedaríais
recibís	recibiríais
reemplazáis	reemplazaríais
regresáis	regresaríais
sentís	sentiríais
servís	serviríais
soportáis	soportaríais
supervisáis	supervisaríais
termináis	terminaríais
traéis	traeríais
visitáis	visitaríais
votáis	votaríais
