ampliar	amplía
anunciar	anuncia
aprovechar	aprovecha
atender	atiende
bailar	baila
beber	bebe
cantar	canta
conseguir	consigue
contener	contiene
convertir	convierte
definir	define
dejar	deja
descargar	descarga
describir	describe
dormir	duerme
elaborar	elabora
entender	entiende
explicar	explica
financiar	financia
firmar	firma
formar	forma
haber	ha
hablar	habla
introducir	introduce
invertir	invierte
ir	va
lograr	logra
manejar	maneja
matar	mata
mencionar	menciona
mostrar	muestra
organizar	organiza
partir	parte
perder	pierde
poder	puede
promover	promueve
proponer	propone
proporcionar	proporciona
proveer	provee
publicar	publica
recordar	recuerda
recuperar	recupera
reducir	reduce
relacionar	relaciona
representar	representa
robar	roba
ser	es
señalar	señala
soportar	soporta
vivir	vive
