abordabais	abordaréis
acordabais	acordaréis
administrabais	administraréis
ampliabais	ampliaréis
apoyabais	apoyaréis
aprobabais	aprobaréis
asistíais	asistiréis
comenzabais	comenzaréis
concluíais	concluiréis
conocíais	conoceréis
considerabais	consideraréis
conteníais	contendréis
corríais	correréis
defendíais	defenderéis
describíais	describiréis
destacabais	destacaréis
dormíais	dormiréis
entrabais	entraréis
enviabais	enviaréis
escapabais	escaparéis
escuchabais	escucharéis
estabais	estaréis
estudiabais	estudiaréis
evitabais	evitaréis
gastabais	gastaréis
habíais	habréis
habilitabais	habilitaréis
impedíais	impediréis
ibais	iréis
limpiabais	limpiaréis
luchabais	lucharéis
movíais	moveréis
necesitabais	necesitaréis
parecíais	pareceréis
partíais	partiréis
podíais	podréis
prestabais	prestaréis
promocionabais	promocionaréis
protegíais	protegeréis
quedabais	quedaréis
recogíais	recogeréis
reducíais	reduciréis
revisabais	revisaréis
sacabais	sacaréis
seguíais	seguiréis
sentabais	sentaréis
erais	seréis
solicitabais	solicitaréis
tomabais	tomaréis
veníais	vendréis
