acordábamos	acordaríamos
administrábamos	administraríamos
animábamos	animaríamos
atendíamos	atenderíamos
bailábamos	bailaríamos
caminábamos	caminaríamos
causábamos	causaríamos
cerrábamos	cerraríamos
comenzábamos	comenzaríamos
comíamos	comeríamos
completábamos	completaríamos
comprábamos	compraríamos
confiábamos	confiaríamos
conocíamos	conoceríamos
conseguíamos	conseguiríamos
consolidábamos	consolidaríamos
cortábamos	cortaríamos
decidíamos	decidiríamos
dejábamos	dejaríamos
descargábamos	descargaríamos
enviábamos	enviaríamos
establecíamos	estableceríamos
evaluábamos	evaluaríamos
formulábamos	formularíamos
hablábamos	hablaríamos
hacíamos	haríamos
imaginábamos	imaginaríamos
implicábamos	implicaríamos
intentábamos	intentaríamos
llamábamos	llamaríamos
mirábamos	miraríamos
modificábamos	modificaríamos
movíamos	moveríamos
parecíamos	pareceríamos
pensábamos	pensaríamos
protegíamos	protegeríamos
realizábamos	realizaríamos
recordábamos	recordaríamos
recuperábamos	recuperaríamos
regresábamos	regresaríamos
relacionábamos	relacionaríamos
requeríamos	requeriríamos
respetábamos	respetaríamos
seguíamos	seguiríamos
solicitábamos	solicitaríamos
soportábamos	soportaríamos
supervisábamos	supervisaríamos
usábamos	usaríamos
volvíamos	volveríamos
votábamos	votaríamos
