alcanzaban	alcanzarían
asistían	asistirían
cantaban	cantarían
casaban	casarían
comenzaban	comenzarían
comían	comerían
completaban	completarían
conducían	conducirían
confirmaban	confirmarían
convertían	convertirían
cortaban	cortarían
cuidaban	cuidarían
definían	definirían
demostraban	demostrarían
enviaban	enviarían
escuchaban	escucharían
financiaban	financiarían
garantizaban	garantizarían
generaban	generarían
habían	habrían
implicaban	implicarían
imponían	impondrían
instalaban	instalarían
investigaban	investigarían
jugaban	jugarían
luchaban	lucharían
manejaban	manejarían
medían	medirían
mejoraban	mejorarían
obtenían	obtendrían
olvidaban	olvidarían
partían	partirían
podían	podrían
preparaban	prepararían
promocionaban	promocionarían
promovían	promoverían
proporcionaban	proporcionarían
realizaban	realizarían
recibían	recibirían
requerían	requerirían
resolvían	resolverían
robaban	robarían
seguían	seguirían
seleccionaban	seleccionarían
sentaban	sentarían
sumaban	sumarían
trabajaban	trabajarían
venían	vendrían
volvían	volverían
votaban	votarían
