abandonarías	abandonaríais
adoptarías	adoptaríais
alcanzarías	alcanzaríais
analizarías	analizaríais
aparecerías	apareceríais
aplicarías	aplicaríais
apoyarías	apoyaríais
avanzarías	avanzaríais
comenzarías	comenzaríais
comprarías	compraríais
conducirías	conduciríais
confirmarías	confirmaríais
conseguirías	conseguiríais
conservarías	conservaríais
consolidarías	consolidaríais
contendrías	contendríais
cooperarías	cooperaríais
correrías	correríais
creerías	creeríais
cuidarías	cuidaríais
darías	daríais
dependerías	dependeríais
desempeñarías	desempeñaríais
discutirías	discutiríais
disfrutarías	disfrutaríais
explicarías	explicaríais
expresarías	expresaríais
firmarías	firmaríais
gastarías	gastaríais
gestionarías	gestionaríais
implicarías	implicaríais
incluirías	incluiríais
incorporarías	incorporaríais
integrarías	integraríais
intentarías	intentaríais
llamarías	llamaríais
matarías	mataríais
mejorarías	mejoraríais
moverías	moveríais
parecerías	pareceríais
permanecerías	permaneceríais
preservarías	preservaríais
prestarías	prestaríais
recibirías	recibiríais
recordarías	recordaríais
referirías	referiríais
romperías	romperíais
seleccionarías	seleccionaríais
sentarías	sentaríais
señalarías	señalaríais
