acordando	acordaste
alcanzando	alcanzaste
analizando	analizaste
aprendiendo	aprendiste
asegurando	aseguraste
atrayendo	atrajiste
concluyendo	concluiste
corriendo	corriste
cubriendo	cubriste
dando	diste
diciendo	dijiste
designando	designaste
ejerciendo	ejerciste
elaborando	elaboraste
eligiendo	elegiste
encontrando	encontraste
enseñando	enseñaste
estableciendo	estableciste
examinando	examinaste
existiendo	exististe
explicando	explicaste
expresando	expresaste
fallando	fallaste
formando	formaste
fortaleciendo	fortaleciste
gestionando	gestionaste
guardando	guardaste
luchando	luchaste
mejorando	mejoraste
mostrando	mostraste
ocurriendo	ocurriste
olvidando	olvidaste
perdiendo	perdiste
poniendo	pusiste
proponiendo	propusiste
realizando	realizaste
reconociendo	reconociste
refiriendo	referiste
revisando	revisaste
sacando	sacaste
saliendo	saliste
salvando	salvaste
seleccionando	seleccionaste
sobreviviendo	sobreviviste
superando	superaste
teniendo	tuviste
tomando	tomaste
trayendo	trajiste
verificando	verificaste
visitando	visitaste
