acuerdo	acordaron
actúo	actuaron
atiendo	atendieron
aumento	aumentaron
bailo	bailaron
compro	compraron
comprendo	comprendieron
confirmo	confirmaron
construyo	construyeron
cuento	contaron
coordino	coordinaron
defiendo	defendieron
descargo	descargaron
desempeño	desempeñaron
destruyo	destruyeron
dirijo	dirigieron
disfruto	disfrutaron
elimino	eliminaron
escapo	escaparon
explico	explicaron
financio	financiaron
funciono	funcionaron
genero	generaron
hablo	hablaron
identifico	identificaron
inicio	iniciaron
introduzco	introdujeron
invierto	invirtieron
leo	leyeron
mantengo	mantuvieron
menciono	mencionaron
muero	murieron
necesito	necesitaron
organizo	organizaron
presto	prestaron
promociono	promocionaron
promuevo	promovieron
publico	publicaron
reduzco	redujeron
reviso	revisaron
siento	sintieron
soy	fueron
sobrevivo	sobrevivieron
solicito	solicitaron
sufro	sufrieron
tengo	tuvieron
trabajo	trabajaron
trato	trataron
viajo	viajaron
visito	visitaron
