acordaba	acordaréis
alentaba	alentaréis
ampliaba	ampliaréis
analizaba	analizaréis
aprovechaba	aprovecharéis
averiguaba	averiguaréis
bailaba	bailaréis
buscaba	buscaréis
causaba	causaréis
comenzaba	comenzaréis
consolidaba	consolidaréis
continuaba	continuaréis
contribuía	contribuiréis
cooperaba	cooperaréis
creía	creeréis
definía	definiréis
desarrollaba	desarrollaréis
destruía	destruiréis
dormía	dormiréis
encontraba	encontraréis
escribía	escribiréis
establecía	estableceréis
estaba	estaréis
formaba	formaréis
fortalecía	fortaleceréis
garantizaba	garantizaréis
imponía	impondréis
instalaba	instalaréis
leía	leeréis
limpiaba	limpiaréis
manejaba	manejaréis
necesitaba	necesitaréis
pasaba	pasaréis
perdía	perderéis
preparaba	prepararéis
promocionaba	promocionaréis
promovía	promoveréis
protegía	protegeréis
recibía	recibiréis
reemplazaba	reemplazaréis
representaba	representaréis
requería	requeriréis
revisaba	revisaréis
robaba	robaréis
rompía	romperéis
sentía	sentiréis
solicitaba	solicitaréis
terminaba	terminaréis
verificaba	verificaréis
volvía	volveréis
