aceleré	acelerarán
acordé	acordarán
administré	administrarán
adquirí	adquirirán
agradecí	agradecerán
amplié	ampliarán
aparecí	aparecerán
aprobé	aprobarán
asistí	asistirán
atraje	atraerán
cambié	cambiarán
celebré	celebrarán
cerré	cerrarán
comprobé	comprobarán
concluí	concluirán
conduje	conducirán
consolidé	consolidarán
contribuí	contribuirán
controlé	controlarán
cubrí	cubrirán
di	darán
ejercí	ejercerán
elegí	elegirán
entendí	entenderán
envié	enviarán
escapé	escaparán
estudié	estudiarán
examiné	examinarán
formulé	formularán
gestioné	gestionarán
identifiqué	identificarán
imaginé	imaginarán
jugué	jugarán
llamé	llamarán
lloré	llorarán
luché	lucharán
mejoré	mejorarán
miré	mirarán
olvidé	olvidarán
produje	producirán
proporcioné	proporcionarán
proveí	proveerán
recogí	recogerán
recordé	recordarán
reduje	reducirán
revisé	revisarán
salvé	salvarán
sufrí	sufrirán
traté	tratarán
voté	votarán
