abandonarás	abandonarían
accederás	accederían
aceptarás	aceptarían
administrarás	administrarían
agradecerás	agradecerían
alcanzarás	alcanzarían
asistirás	asistirían
aumentarás	aumentarían
avanzarás	avanzarían
añadirás	añadirían
beberás	beberían
conservarás	conservarían
contarás	contarían
desarrollarás	desarrollarían
designarás	designarían
dormirás	dormirían
empezarás	empezarían
enviarás	enviarían
escribirás	escribirían
escucharás	escucharían
establecerás	establecerían
estarás	estarían
evitarás	evitarían
fomentarás	fomentarían
ganarás	ganarían
generarás	generarían
guardarás	guardarían
harás	harían
instalarás	instalarían
integrarás	integrarían
invertirás	invertirían
investigarás	investigarían
involucrarás	involucrarían
irás	irían
llevarás	llevarían
llorarás	llorarían
lograrás	lograrían
mencionarás	mencionarían
mirarás	mirarían
pagarás	pagarían
pararás	pararían
permitirás	permitirían
presentarás	presentarían
protegerás	protegerían
publicarás	publicarían
quedarás	quedarían
robarás	robarían
soportarás	soportarían
tocarás	tocarían
venderás	venderían
