abren	abrirían
aceleran	acelerarían
acuerdan	acordarían
adquieren	adquirirían
alcanzan	alcanzarían
apoyan	apoyarían
aprenden	aprenderían
avanzan	avanzarían
causan	causarían
comprueban	comprobarían
confirman	confirmarían
corren	correrían
crecen	crecerían
dicen	dirían
dejan	dejarían
describen	describirían
disfrutan	disfrutarían
eliminan	eliminarían
entienden	entenderían
escriben	escribirían
existen	existirían
explican	explicarían
formulan	formularían
hacen	harían
imaginan	imaginarían
incluyen	incluirían
incorporan	incorporarían
inician	iniciarían
investigan	investigarían
van	irían
limitan	limitarían
llaman	llamarían
logran	lograrían
modifican	modificarían
ocurren	ocurrirían
pagan	pagarían
parecen	parecerían
pierden	perderían
preguntan	preguntarían
preservan	preservarían
quedan	quedarían
revisan	revisarían
satisfacen	satisfarían
siguen	seguirían
sienten	sentirían
sobreviven	sobrevivirían
sufren	sufrirían
toman	tomarían
venden	venderían
votan	votarían
