accedían	accedí
aceleraban	aceleré
alcanzaban	alcancé
animaban	animé
anunciaban	anuncié
aplicaban	apliqué
atendían	atendí
bebían	bebí
conducían	conduje
conseguían	conseguí
consideraban	consideré
consistían	consistí
contaban	conté
corrían	corrí
cubrían	cubrí
dependían	dependí
designaban	designé
destruían	destruí
dirigían	dirigí
disfrutaban	disfruté
ejecutaban	ejecuté
elaboraban	elaboré
esperaban	esperé
estaban	estuve
firmaban	firmé
formaban	formé
fortalecían	fortalecí
guardaban	guardé
impedían	impedí
implicaban	impliqué
incrementaban	incrementé
indicaban	indiqué
informaban	informé
manejaban	manejé
mencionaban	mencioné
operaban	operé
partían	partí
pedían	pedí
perdían	perdí
prestaban	presté
producían	produje
realizaban	realicé
recordaban	recordé
recuperaban	recuperé
respetaban	respeté
eran	fui
señalaban	señalé
usaban	usé
veían	vi
viajaban	viajé
