abandonando	abandonan
acordando	acuerdan
alentando	alientan
anunciando	anuncian
apoyando	apoyan
aprendiendo	aprenden
asegurando	aseguran
bailando	bailan
combatiendo	combaten
compartiendo	comparten
consolidando	consolidan
coordinando	coordinan
cortando	cortan
creando	crean
cuidando	cuidan
defendiendo	defienden
desarrollando	desarrollan
desempeñando	desempeñan
designando	designan
discutiendo	discuten
durmiendo	duermen
ejecutando	ejecutan
enfrentando	enfrentan
escuchando	escuchan
esperando	esperan
estando	están
explicando	explican
gestionando	gestionan
guardando	guardan
habiendo	han
imaginando	imaginan
implicando	implican
instalando	instalan
integrando	integran
yendo	van
limitando	limitan
luchando	luchan
matando	matan
modificando	modifican
obteniendo	obtienen
perdiendo	pierden
quedando	quedan
recibiendo	reciben
regresando	regresan
respondiendo	responden
saliendo	salen
sirviendo	sirven
solicitando	solicitan
supervisando	supervisan
trabajando	trabajan
