aceptando	aceptaremos
acordando	acordaremos
adoptando	adoptaremos
apoyando	apoyaremos
aprobando	aprobaremos
atendiendo	atenderemos
aumentando	aumentaremos
avanzando	avanzaremos
añadiendo	añadiremos
cantando	cantaremos
casando	casaremos
comenzando	comenzaremos
conservando	conservaremos
consolidando	consolidaremos
consultando	consultaremos
conteniendo	contendremos
cuidando	cuidaremos
describiendo	describiremos
durmiendo	dormiremos
ejecutando	ejecutaremos
elaborando	elaboraremos
encontrando	encontraremos
enfrentando	enfrentaremos
estando	estaremos
expresando	expresaremos
fallando	fallaremos
generando	generaremos
haciendo	haremos
implicando	implicaremos
incorporando	incorporaremos
invirtiendo	invertiremos
investigando	investigaremos
logrando	lograremos
moviendo	moveremos
ofreciendo	ofreceremos
olvidando	olvidaremos
perdiendo	perderemos
proporcionando	proporcionaremos
publicando	publicaremos
quedando	quedaremos
reemplazando	reemplazaremos
refiriendo	referiremos
regresando	regresaremos
relacionando	relacionaremos
sabiendo	sabremos
sacando	sacaremos
señalando	señalaremos
teniendo	tendremos
tratando	trataremos
viviendo	viviremos
