abordáis	abordan
abrís	abren
aparecéis	aparecen
asumís	asumen
averiguáis	averiguan
celebráis	celebran
combatís	combaten
coméis	comen
completáis	completan
conocéis	conocen
conseguís	consiguen
construís	construyen
continuáis	continúan
decidís	deciden
describís	describen
enseñáis	enseñan
entendéis	entienden
enviáis	envían
esperáis	esperan
expresáis	expresan
garantizáis	garantizan
generáis	generan
habéis	han
hacéis	hacen
imponéis	imponen
informáis	informan
vais	van
medís	miden
miráis	miran
obtenéis	obtienen
pasáis	pasan
permanecéis	permanecen
podéis	pueden
prestáis	prestan
probáis	prueban
proponéis	proponen
reforzáis	refuerzan
resolvéis	resuelven
seguís	siguen
sentáis	sientan
sentís	sienten
servís	sirven
sugerís	sugieren
tenéis	tienen
tocáis	tocan
tomáis	toman
trabajáis	trabajan
usáis	usan
utilizáis	utilizan
verificáis	verifican
