abordando	abordarán
accediendo	accederán
aceptando	aceptarán
anunciando	anunciarán
apareciendo	aparecerán
bebiendo	beberán
cambiando	cambiarán
combatiendo	combatirán
comenzando	comenzarán
comprando	comprarán
concluyendo	concluirán
creando	crearán
cuidando	cuidarán
cumpliendo	cumplirán
diciendo	dirán
defendiendo	defenderán
dejando	dejarán
determinando	determinarán
escapando	escaparán
esperando	esperarán
estableciendo	establecerán
estudiando	estudiarán
explicando	explicarán
financiando	financiarán
ganando	ganarán
identificando	identificarán
implicando	implicarán
incluyendo	incluirán
incrementando	incrementarán
limitando	limitarán
llorando	llorarán
mostrando	mostrarán
participando	participarán
partiendo	partirán
prestando	prestarán
promocionando	promocionarán
proveyendo	proveerán
reconociendo	reconocerán
recordando	recordarán
respondiendo	responderán
saliendo	saldrán
sirviendo	servirán
señalando	señalarán
soportando	soportarán
sugiriendo	sugerirán
trabajando	trabajarán
uniendo	unirán
viniendo	vendrán
viendo	verán
verificando	verificarán
