abordas/abordás	abordabas
aceptas/aceptás	aceptabas
agradeces/agradecés	agradecías
alcanzas/alcanzás	alcanzabas
analizas/analizás	analizabas
aprendes/aprendés	aprendías
avanzas/avanzás	avanzabas
averiguas/averiguás	averiguabas
añades/añadís	añadías
caes/caés	caías
consistes/consistís	consistías
construyes/construís	construías
cuentas/contás	contabas
corres/corrés	corrías
creas/creás	creabas
creces/crecés	crecías
dices/decís	decías
defiendes/defendés	defendías
dejas/dejás	dejabas
designas/designás	designabas
duermes/dormís	dormías
elaboras/elaborás	elaborabas
encuentras/encontrás	encontrabas
entras/entrás	entrabas
escapas/escapás	escapabas
facilitas/facilitás	facilitabas
financias/financiás	financiabas
generas/generás	generabas
gestionas/gestionás	gestionabas
impides/impedís	impedías
indicas/indicás	indicabas
integras/integrás	integrabas
localizas/localizás	localizabas
paras/parás	parabas
partes/partís	partías
pasas/pasás	pasabas
puedes/podés	podías
produces/producís	producías
reduces/reducís	reducías
reemplazas/reemplazás	reemplazabas
robas/robás	robabas
rompes/rompés	rompías
sabes/sabés	sabías
eres/sos	eras
señalas/señalás	señalabas
sugieres/sugerís	sugerías
sumas/sumás	sumabas
terminas/terminás	terminabas
trabajas/trabajás	trabajabas
vuelas/volás	volabas
