aceptaré	aceptaría
actuaré	actuaría
alcanzaré	alcanzaría
ampliaré	ampliaría
aprenderé	aprendería
atenderé	atendería
avanzaré	avanzaría
casaré	casaría
causaré	causaría
cerraré	cerraría
compartiré	compartiría
consistiré	consistiría
contendré	contendría
controlaré	controlaría
creceré	crecería
cuidaré	cuidaría
cumpliré	cumpliría
diré	diría
dependeré	dependería
descubriré	descubriría
dirigiré	dirigiría
enfrentaré	enfrentaría
esperaré	esperaría
existiré	existiría
fallaré	fallaría
habilitaré	habilitaría
indicaré	indicaría
informaré	informaría
instalaré	instalaría
jugaré	jugaría
llegaré	llegaría
lucharé	lucharía
mostraré	mostraría
observaré	observaría
olvidaré	olvidaría
partiré	partiría
presentaré	presentaría
prevendré	prevendría
publicaré	publicaría
reconoceré	reconocería
recordaré	recordaría
recuperaré	recuperaría
reemplazaré	reemplazaría
romperé	rompería
seré	sería
sugeriré	sugeriría
sumaré	sumaría
traeré	traería
vendré	vendría
viajaré	viajaría
