acelerando	acelera
ampliando	amplía
asegurando	asegura
atendiendo	atiende
bebiendo	bebe
buscando	busca
concluyendo	concluye
conteniendo	contiene
controlando	controla
descargando	descarga
desempeñando	desempeña
enfrentando	enfrenta
explicando	explica
fortaleciendo	fortalece
funcionando	funciona
generando	genera
gestionando	gestiona
haciendo	hace
impidiendo	impide
implicando	implica
incluyendo	incluye
involucrando	involucra
llorando	llora
midiendo	mide
mirando	mira
modificando	modifica
muriendo	muere
mostrando	muestra
moviendo	mueve
observando	observa
ofreciendo	ofrece
organizando	organiza
participando	participa
pidiendo	pide
permaneciendo	permanece
poniendo	pone
preservando	preserva
prestando	presta
realizando	realiza
reconociendo	reconoce
reforzando	refuerza
regresando	regresa
relacionando	relaciona
rompiendo	rompe
sufriendo	sufre
sumando	suma
tocando	toca
tratando	trata
utilizando	utiliza
visitando	visita
