abandono	abandonaría
accedo	accedería
adquiero	adquiriría
anuncio	anunciaría
cambio	cambiaría
conduzco	conduciría
conozco	conocería
consigo	conseguiría
conservo	conservaría
cuento	contaría
continúo	continuaría
creo	crearía
cuido	cuidaría
duermo	dormiría
ejerzo	ejercería
elaboro	elaboraría
elijo	elegiría
envío	enviaría
estoy	estaría
evalúo	evaluaría
existo	existiría
exploro	exploraría
facilito	facilitaría
formo	formaría
formulo	formularía
fortalezco	fortalecería
funciono	funcionaría
gano	ganaría
implico	implicaría
incorporo	incorporaría
incremento	incrementaría
instalo	instalaría
juego	jugaría
limpio	limpiaría
miro	miraría
ofrezco	ofrecería
olvido	olvidaría
opero	operaría
puedo	podría
presento	presentaría
recibo	recibiría
recojo	recogería
recupero	recuperaría
reduzco	reduciría
reemplazo	reemplazaría
respondo	respondería
siento	sentaría
sirvo	serviría
utilizo	utilizaría
viajo	viajaría
