aceleramos	aceleraríais
adquirimos	adquiriríais
apoyamos	apoyaríais
cambiamos	cambiaríais
caminamos	caminaríais
celebramos	celebraríais
cerramos	cerraríais
comimos	comeríais
completamos	completaríais
compramos	compraríais
comprobamos	comprobaríais
consideramos	consideraríais
coordinamos	coordinaríais
dijimos	diríais
descargamos	descargaríais
descubrimos	descubriríais
discutimos	discutiríais
dormimos	dormiríais
ejecutamos	ejecutaríais
enseñamos	enseñaríais
entendimos	entenderíais
escuchamos	escucharíais
estudiamos	estudiaríais
evitamos	evitaríais
gastamos	gastaríais
hablamos	hablaríais
incrementamos	incrementaríais
involucramos	involucraríais
limpiamos	limpiaríais
luchamos	lucharíais
matamos	mataríais
ocurrimos	ocurriríais
ofrecimos	ofreceríais
perdimos	perderíais
permitimos	permitiríais
presentamos	presentaríais
promovimos	promoveríais
recibimos	recibiríais
reforzamos	reforzaríais
requerimos	requeriríais
respondimos	responderíais
revisamos	revisaríais
salvamos	salvaríais
sobrevivimos	sobreviviríais
tuvimos	tendríais
trajimos	traeríais
tratamos	trataríais
vendimos	venderíais
vimos	veríais
viajamos	viajaríais
