aceptarán	aceptaría
alentarán	alentaría
aparecerán	aparecería
asegurarán	aseguraría
asumirán	asumiría
atraerán	atraería
ayudarán	ayudaría
celebrarán	celebraría
comenzarán	comenzaría
comprarán	compraría
conocerán	conocería
conseguirán	conseguiría
construirán	construiría
consultarán	consultaría
continuarán	continuaría
cortarán	cortaría
crearán	crearía
dependerán	dependería
descargarán	descargaría
dirigirán	dirigiría
elaborarán	elaboraría
enseñarán	enseñaría
enviarán	enviaría
escribirán	escribiría
evadirán	evadiría
evaluarán	evaluaría
evitarán	evitaría
garantizarán	garantizaría
hablarán	hablaría
harán	haría
leerán	leería
localizarán	localizaría
mirarán	miraría
mostrarán	mostraría
ocurrirán	ocurriría
perderán	perdería
presentarán	presentaría
proporcionarán	proporcionaría
reforzarán	reforzaría
relacionarán	relacionaría
robarán	robaría
romperán	rompería
sabrán	sabría
saldrán	saldría
seleccionarán	seleccionaría
sobrevivirán	sobreviviría
solicitarán	solicitaría
supervisarán	supervisaría
tratarán	trataría
vendrán	vendría
