amplió	ampliaré
animó	animaré
aplicó	aplicaré
atendió	atenderé
cayó	caeré
cambió	cambiaré
casó	casaré
compró	compraré
consiguió	conseguiré
construyó	construiré
contó	contaré
coordinó	coordinaré
dio	daré
decidió	decidiré
demostró	demostraré
descubrió	descubriré
detuvo	detendré
enseñó	enseñaré
entendió	entenderé
escuchó	escucharé
estableció	estableceré
fomentó	fomentaré
formuló	formularé
fortaleció	fortaleceré
generó	generaré
impidió	impediré
incluyó	incluiré
invirtió	invertiré
limpió	limpiaré
llevó	llevaré
mencionó	mencionaré
mostró	mostraré
ocurrió	ocurriré
olvidó	olvidaré
pareció	pareceré
partió	partiré
pidió	pediré
pensó	pensaré
puso	pondré
preparó	prepararé
promocionó	promocionaré
redujo	reduciré
reforzó	reforzaré
sacó	sacaré
sirvió	serviré
sobrevivió	sobreviviré
trabajó	trabajaré
verificó	verificaré
vivió	viviré
votó	votaré
