administrábamos	administraremos
aparecíamos	apareceremos
aplicábamos	aplicaremos
atendíamos	atenderemos
bailábamos	bailaremos
caminábamos	caminaremos
causábamos	causaremos
cerrábamos	cerraremos
comíamos	comeremos
comprendíamos	comprenderemos
concluíamos	concluiremos
construíamos	construiremos
continuábamos	continuaremos
corríamos	correremos
designábamos	designaremos
destacábamos	destacaremos
deteníamos	detendremos
dormíamos	dormiremos
elegíamos	elegiremos
evadíamos	evadiremos
evaluábamos	evaluaremos
examinábamos	examinaremos
explicábamos	explicaremos
expresábamos	expresaremos
gastábamos	gastaremos
impedíamos	impediremos
implicábamos	implicaremos
imponíamos	impondremos
incorporábamos	incorporaremos
instalábamos	instalaremos
integrábamos	integraremos
íbamos	iremos
jugábamos	jugaremos
matábamos	mataremos
movíamos	moveremos
obteníamos	obtendremos
ocurríamos	ocurriremos
ofrecíamos	ofreceremos
operábamos	operaremos
podíamos	podremos
poníamos	pondremos
publicábamos	publicaremos
representábamos	representaremos
sentíamos	sentiremos
servíamos	serviremos
soportábamos	soportaremos
sufríamos	sufriremos
sumábamos	sumaremos
viajábamos	viajaremos
volábamos	volaremos
